CODIGO,TRABALHO,COLECAO,ARTE/HOT,SERVICO_GERAL,SERVICO_ESPECIFICO,DATA,QUANTIDADE,PRECO_TOTAL,PRECO_UNIT
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,04/07/2023,30,48,1.60
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,04/07/2023,2630,1333.41,0.51
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,04/07/2023,4340,2200.38,0.51
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,04/07/2023,4380,2711.22,0.62
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,04/07/2023,13850,8573.15,0.62
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,11/07/2023,340,450,1.32
,POLEN,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,11/07/2023,22,35.20,1.60
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,11/07/2023,210,340,1.62
,CADERNO ORGANIZADOR,AVULSO,FORRO,LAMINAÇÃO,LAM. FOSCA FR,11/07/2023,100,160,1.60
,CADERNO ORGANIZADOR,AVULSO,FORRO,LAMINAÇÃO,LAM. FOSCA FR,11/07/2023,115,184,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,11/07/2023,120,192,1.60
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,11/07/2023,6400,3244.80,0.51
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,11/07/2023,6450,3992.55,0.62
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,18/07/2023,4700,2909.30,0.62
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,18/07/2023,4800,2433.60,0.51
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,18/07/2023,1200,518.40,0.43
,MELISSA,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,18/07/2023,560,340,0.61
,MELISSA,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,18/07/2023,75,120,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,18/07/2023,103,164.80,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,18/07/2023,360,340,0.94
,PASTEL BLOCK,FRESCOR 2023,CAPAS,LAMINAÇÃO,LAM.SUPER FOSCA FR,18/07/2023,83,166,2
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,18/07/2023,106,212,2
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,26/07/2023,660,340,0.52
,CADERNO ORGANIZADOR,AVULSO,FORRO,LAMINAÇÃO,LAM. FOSCA FR,26/07/2023,400,340,0.85
3938,KRAFT,COLEÇÃO 2024,RELICÁRIO,HOT,HOT STAMPING,26/07/2023,900,670,0.74
3952,KRAFT,COLEÇÃO 2024,LINHA E PONTO,HOT,HOT STAMPING,26/07/2023,900,670,0.74
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,04/08/2023,15,30,2
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,04/08/2023,50,100,2
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,04/08/2023,165,264,1.60
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM.SUPER FOSCA FR,04/08/2023,627,450,0.72
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,04/08/2023,9000,5571,0.62
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,04/08/2023,12300,7613.70,0.62
,PERSONALIZADO,2023,PERSONALIZADO,LAMINAÇÃO,LAM. FOSCA FR,04/08/2023,7540,3822.78,0.51
,COLEÇÃO 2024,COLEÇÃO 2024,CAPAS,LAMINAÇÃO,LAM. FOSCA FR,04/08/2023,22620,11468.34,0.51
4089,MELISSA,COLEÇÃO 2024,COLMEIA,VERNIZ,VERNIZ LOCALIZADO,14/08/2023,1700,493,0.29
,,,,PRÉ-PRODUÇÃO,GRAVAÇÃO DE TELA,14/08/2023,1,185,185
4089,MELISSA,COLEÇÃO 2024,COLMEIA,HOT,HOT STAMPING,14/08/2023,1700,2278,1.34
